ONS Code,Area name,Mode,Purpose,Frequency,2021,2020,2019,2018,2017,2016
E09000012,Hackney,Cycling,Leisure,At least 3 times per week,2.47443461280947,4.8267999999999995,1.2386920337872058,3.7636000000000003,3.9792,3.0775
E09000012,Hackney,Cycling,Leisure,At least 5 times per week,0.723459983588537,2.0389999999999997,0.7050727105712927,1.3856,2.4238,1.2555
E09000013,Hammersmith and Fulham,Cycling,Leisure,At least once per month,18.4097620112145,19.2454,19.65428271277752,15.7221,17.4227,26.8387
E09000013,Hammersmith and Fulham,Cycling,Leisure,At least once per week,10.6023259324069,13.761300000000002,8.626768968578666,10.4183,8.5657,13.624500000000001
E09000013,Hammersmith and Fulham,Cycling,Leisure,At least 3 times per week,2.91895554696139,5.5452,3.1021985177588003,3.7407000000000004,2.4569,1.8966
E09000013,Hammersmith and Fulham,Cycling,Leisure,At least 5 times per week,1.22310426314601,3.0450999999999997,2.3431681482041022,1.6188,1.8294000000000001,1.3249
E09000014,Haringey,Cycling,Leisure,At least once per month,10.0111144330156,12.3892,12.887401838164386,10.9164,13.571,12.4263
E09000014,Haringey,Cycling,Leisure,At least once per week,4.92861146645366,7.345699999999999,7.256253392482957,4.7223,8.184,6.2791
E09000014,Haringey,Cycling,Leisure,At least 3 times per week,1.1837022231495,2.0719000000000003,2.201064653244055,1.2509,3.0412000000000003,1.0933
E09000014,Haringey,Cycling,Leisure,At least 5 times per week,0.572411477159605,1.8904,0.9145791526267177,0.7945000000000001,1.1549,0.53
E09000019,Islington,Cycling,Leisure,At least once per month,13.5520393280025,20.0181,15.024518762447455,19.5396,13.1519,19.497500000000002
E09000019,Islington,Cycling,Leisure,At least once per week,7.70839251028076,10.6937,7.196245719180036,11.6853,7.3157,11.2499
E09000019,Islington,Cycling,Leisure,At least 3 times per week,2.47119148912949,3.9759999999999995,1.068145989804269,2.5787,1.3163,3.0979
E09000019,Islington,Cycling,Leisure,At least 5 times per week,1.22477118575333,2.1664,0.9018380701626499,1.2804,0.3888,2.0664
